GeoFips,GeoName,Year,Per Capita Personal Income
5000,Arkansas,1932,152
6000,California,1932,584
8000,Colorado,1932,357
9000,Connecticut,1932,627
10000,Delaware,1932,591
11000,District of Columbia,1932,1107
12000,Florida,1932,317
13000,Georgia,1932,197
15000,Hawaii *,1932,
16000,Idaho,1932,268
17000,Illinois,1932,489
18000,Indiana,1932,308
19000,Iowa,1932,293
20000,Kansas,1932,267
21000,Kentucky,1932,209
22000,Louisiana,1932,238
23000,Maine,1932,380
24000,Maryland,1932,522
25000,Massachusetts,1932,622
26000,Michigan,1932,395
27000,Minnesota,1932,361
28000,Mississippi,1932,122
29000,Missouri,1932,365
30000,Montana,1932,334
31000,Nebraska,1932,303
32000,Nevada,1932,557
33000,New Hampshire,1932,430
34000,New Jersey,1932,593
35000,New Mexico,1932,208
36000,New York,1932,686
37000,North Carolina,1932,183
38000,North Dakota,1932,178
39000,Ohio,1932,403
40000,Oklahoma,1932,214
41000,Oregon,1932,377
42000,Pennsylvania,1932,455
44000,Rhode Island,1932,584
45000,South Carolina,1932,156
46000,South Dakota,1932,189
47000,Tennessee,1932,194
48000,Texas,1932,262
49000,Utah,1932,304
50000,Vermont,1932,363
51000,Virginia,1932,286
53000,Washington,1932,402
54000,West Virginia,1932,257
55000,Wisconsin,1932,362
56000,Wyoming,1932,375
91000,New England,1932,574
92000,Mideast,1932,593
93000,Great Lakes,1932,410
94000,Plains,1932,313
95000,Southeast,1932,203
96000,Southwest,1932,250
97000,Rocky Mountain,1932,330
98000,Far West,1932,526
0,United States,1980,10180
1000,Alabama,1980,7957
2000,Alaska,1980,15507
4000,Arizona,1980,9671
5000,Arkansas,1980,7597
6000,California,1980,11945
8000,Colorado,1980,11019
9000,Connecticut,1980,12365
10000,Delaware,1980,10809
11000,District of Columbia,1980,13235
12000,Florida,1980,10145
13000,Georgia,1980,8602
15000,Hawaii *,1980,11867
16000,Idaho,1980,8856
17000,Illinois,1980,10950
18000,Indiana,1980,9365
19000,Iowa,1980,9607
20000,Kansas,1980,10075
21000,Kentucky,1980,8152
22000,Louisiana,1980,8849
23000,Maine,1980,8567
24000,Maryland,1980,11473
25000,Massachusetts,1980,10684
26000,Michigan,1980,10230
27000,Minnesota,1980,10282
28000,Mississippi,1980,7166
29000,Missouri,1980,9370
30000,Montana,1980,9142
31000,Nebraska,1980,9386
32000,Nevada,1980,11951
33000,New Hampshire,1980,10039
34000,New Jersey,1980,11801
35000,New Mexico,1980,8647
36000,New York,1980,11001
37000,North Carolina,1980,8348
38000,North Dakota,1980,8053
39000,Ohio,1980,9924
40000,Oklahoma,1980,9629
41000,Oregon,1980,10234
42000,Pennsylvania,1980,10034
44000,Rhode Island,1980,9898
45000,South Carolina,1980,7965
46000,South Dakota,1980,8269
47000,Tennessee,1980,8277
48000,Texas,1980,9983
49000,Utah,1980,8366
50000,Vermont,1980,8790
51000,Virginia,1980,10567
53000,Washington,1980,11130
54000,West Virginia,1980,8011
55000,Wisconsin,1980,10034
56000,Wyoming,1980,11612
91000,New England,1980,10727
92000,Mideast,1980,10947
93000,Great Lakes,1980,10212
94000,Plains,1980,9631
95000,Southeast,1980,8802
96000,Southwest,1980,9811
97000,Rocky Mountain,1980,9933
98000,Far West,1980,11746
0,United States,1982,11999
1000,Alabama,1982,9272
2000,Alaska,1982,19424
4000,Arizona,1982,11141
5000,Arkansas,1982,9024
6000,California,1982,13793
8000,Colorado,1982,13230
9000,Connecticut,1982,14878
10000,Delaware,1982,12742
11000,District of Columbia,1982,15286
12000,Florida,1982,11942
13000,Georgia,1982,10242
15000,Hawaii *,1982,13249
16000,Idaho,1982,9961
17000,Illinois,1982,12869
18000,Indiana,1982,10686
19000,Iowa,1982,11268
20000,Kansas,1982,12213
21000,Kentucky,1982,9611
22000,Louisiana,1982,10656
23000,Maine,1982,10188
24000,Maryland,1982,13685
25000,Massachusetts,1982,13013
26000,Michigan,1982,11499
27000,Minnesota,1982,12070
28000,Mississippi,1982,8395
29000,Missouri,1982,11174
30000,Montana,1982,10741
31000,Nebraska,1982,11646
32000,Nevada,1982,13343
33000,New Hampshire,1982,12219
34000,New Jersey,1982,14142
35000,New Mexico,1982,10282
36000,New York,1982,13327
37000,North Carolina,1982,9872
